1 10
2 432
3 401
4 310
5 155
6 337
7 317
8 360
9 131
10 168
11 424
12 395
13 166
14 397
15 181
16 170
17 244
18 149
19 220
20 277
21 337
22 237
23 367
24 276
25 319
26 353
27 381
28 352
29 269
30 372
